DATE,CPALTT01USM659N
1977-12-01,6.701030928
1978-01-01,6.837606838
1978-02-01,6.429780034
1978-03-01,6.554621849
1978-04-01,6.5
1978-05-01,6.965174129
1978-06-01,7.413509061
1978-07-01,7.704918033
1978-08-01,7.843137255
1978-09-01,8.306188925
1978-10-01,8.928571429
1978-11-01,8.885298869
1978-12-01,9.017713366
1979-01-01,9.28
1979-02-01,9.856915739
1979-03-01,10.09463722
1979-04-01,10.48513302
1979-05-01,10.85271318
1979-06-01,10.88957055
1979-07-01,11.26331811
1979-08-01,11.81818182
1979-09-01,12.18045113
1979-10-01,12.07153502
1979-11-01,12.61127596
1979-12-01,13.29394387
1980-01-01,13.90922401
1980-02-01,14.18234443
1980-03-01,14.75644699
1980-04-01,14.73087819
1980-05-01,14.40559441
1980-06-01,14.38450899
1980-07-01,13.13269494
1980-08-01,12.87262873
1980-09-01,12.60053619
1980-10-01,12.76595745
1980-11-01,12.64822134
1980-12-01,12.51629726
1981-01-01,11.8251928
1981-02-01,11.40684411
1981-03-01,10.48689139
1981-04-01,10.0
1981-05-01,9.7799511
1981-06-01,9.552599758
1981-07-01,10.7617896
1981-08-01,10.80432173
1981-09-01,10.95238095
1981-10-01,10.14150943
1981-11-01,9.590643275
1981-12-01,8.922363847
1982-01-01,8.390804598
1982-02-01,7.622298066
1982-03-01,6.779661017
1982-04-01,6.509539843
1982-05-01,6.681514477
1982-06-01,7.06401766
1982-07-01,6.441048035
1982-08-01,5.850487541
1982-09-01,5.042918455
1982-10-01,5.139186296
1982-11-01,4.589114194
1982-12-01,3.829787234
1983-01-01,3.711558855
1983-02-01,3.488372093
1983-03-01,3.597883598
1983-04-01,3.898840885
1983-05-01,3.549060543
1983-06-01,2.577319588
1983-07-01,2.461538462
1983-08-01,2.558853634
1983-09-01,2.860061287
1983-10-01,2.851323829
1983-11-01,3.265306122
1983-12-01,3.790983607
1984-01-01,4.192229039
1984-02-01,4.596527068
1984-03-01,4.80081716
1984-04-01,4.563894523
1984-05-01,4.233870968
1984-06-01,4.221105528
1984-07-01,4.204204204
1984-08-01,4.291417166
1984-09-01,4.270109235
1984-10-01,4.257425743
1984-11-01,4.051383399
1984-12-01,3.948667325
1985-01-01,3.532875368
1985-02-01,3.515625
1985-03-01,3.703703704
1985-04-01,3.685741998
1985-05-01,3.771760155
1985-06-01,3.760848602
1985-07-01,3.554274736
1985-08-01,3.349282297
1985-09-01,3.142857143
1985-10-01,3.228869896
1985-11-01,3.51377018
1985-12-01,3.798670465
1986-01-01,3.886255924
1986-02-01,3.113207547
1986-03-01,2.255639098
1986-04-01,1.590271282
1986-05-01,1.491146319
1986-06-01,1.765799257
1986-07-01,1.576994434
1986-08-01,1.574074074
1986-09-01,1.754385965
1986-10-01,1.471941122
1986-11-01,1.28440367
1986-12-01,1.0978957
1987-01-01,1.459854015
1987-02-01,2.104300091
1987-03-01,3.033088235
1987-04-01,3.775322284
1987-05-01,3.856749311
1987-06-01,3.652968037
1987-07-01,3.926940639
1987-08-01,4.284412033
1987-09-01,4.355716878
1987-10-01,4.533091568
1987-11-01,4.528985507
1987-12-01,4.43438914
1988-01-01,4.04676259
1988-02-01,3.94265233
1988-03-01,3.925066905
1988-04-01,3.904170364
1988-05-01,3.890362511
1988-06-01,3.964757709
1988-07-01,4.130052724
1988-08-01,4.020979021
1988-09-01,4.173913043
1988-10-01,4.249783174
1988-11-01,4.24610052
1988-12-01,4.419410745
1989-01-01,4.667242869
1989-02-01,4.827586207
1989-03-01,4.978540773
1989-04-01,5.12382579
1989-05-01,5.361702128
1989-06-01,5.169491525
1989-07-01,4.978902954
1989-08-01,4.705882353
1989-09-01,4.340567613
1989-10-01,4.492512479
1989-11-01,4.655029094
1989-12-01,4.647302905
1990-01-01,5.202312139
1990-02-01,5.263157895
1990-03-01,5.233033524
1990-04-01,4.711616572
1990-05-01,4.36187399
1990-06-01,4.673650282
1990-07-01,4.823151125
1990-08-01,5.617977528
1990-09-01,6.16
1990-10-01,6.289808917
1990-11-01,6.274821287
1990-12-01,6.106264869
1991-01-01,5.651491366
1991-02-01,5.3125
1991-03-01,4.895104895
1991-04-01,4.887509697
1991-05-01,4.953560372
1991-06-01,4.695919938
1991-07-01,4.447852761
1991-08-01,3.799392097
1991-09-01,3.391107762
1991-10-01,2.921348315
1991-11-01,2.989536622
1991-12-01,3.064275037
1992-01-01,2.600297177
1992-02-01,2.818991098
1992-03-01,3.185185185
1992-04-01,3.180473373
1992-05-01,3.02359882
1992-06-01,3.088235294
1992-07-01,3.15712188
1992-08-01,3.147877013
1992-09-01,2.988338192
1992-10-01,3.202328967
1992-11-01,3.047895501
1992-12-01,2.900652647
1993-01-01,3.258508327
1993-02-01,3.246753247
1993-03-01,3.086862886
1993-04-01,3.225806452
1993-05-01,3.221188261
1993-06-01,2.995720399
1993-07-01,2.775800712
1993-08-01,2.767920511
1993-09-01,2.689313517
1993-10-01,2.750352609
1993-11-01,2.676056338
1993-12-01,2.748414376
1994-01-01,2.52454418
1994-02-01,2.51572327
1994-03-01,2.506963788
1994-04-01,2.361111111
1994-05-01,2.288488211
1994-06-01,2.493074792
1994-07-01,2.770083102
1994-08-01,2.900552486
1994-09-01,2.963473467
1994-10-01,2.608098833
1994-11-01,2.674897119
1994-12-01,2.674897119
1995-01-01,2.804377565
1995-02-01,2.862985685
1995-03-01,2.85326087
1995-04-01,3.052917232
1995-05-01,3.186440678
1995-06-01,3.040540541
1995-07-01,2.762803235
1995-08-01,2.617449664
1995-09-01,2.543507363
1995-10-01,2.809364548
1995-11-01,2.605210421
1995-12-01,2.538410154
1996-01-01,2.727877578
1996-02-01,2.650762094
1996-03-01,2.84015852
1996-04-01,2.896642528
1996-05-01,2.890932983
1996-06-01,2.754098361
1996-07-01,2.950819672
1996-08-01,2.877697842
1996-09-01,3.002610966
1996-10-01,2.992843201
1996-11-01,3.255208333
1996-12-01,3.32247557
1997-01-01,3.044041451
1997-02-01,3.034215623
1997-03-01,2.761721259
1997-04-01,2.495201536
1997-05-01,2.234993614
1997-06-01,2.297383535
1997-07-01,2.229299363
1997-08-01,2.22504768
1997-09-01,2.154626109
1997-10-01,2.0846494
1997-11-01,1.828499369
1997-12-01,1.702395965
1998-01-01,1.571338781
1998-02-01,1.441102757
1998-03-01,1.375
1998-04-01,1.435705368
1998-05-01,1.686445971
